player_id,name,hand,ht,country_id
104797,Denis Istomin,R,188,UZB
105430,Radu Albot,R,175,MDA
128034,Hubert Hurkacz,R,196,POL
126156,Antoine Hoang,R,,FRA
106329,Thiago Monteiro,L,183,BRA
106148,Roberto Carballes Baena,R,183,ESP
105432,Prajnesh Gunneswaran,L,,IND
104719,Marcel Granollers,R,190,ESP
104665,Pablo Andujar,R,180,ESP
200000,Felix Auger Aliassime,R,193,CAN
105155,Pedro Sousa,R,180,POR
106078,Egor Gerasimov,R,196,BLR
104593,Daniel Gimeno Traver,R,185,ESP
105031,Saketh Myneni,R,,IND
105359,Jason Jung,R,,TPE
105413,Andrej Martin,R,180,SVK
104978,Daniel Brands,R,196,GER
111790,Brayden Schnur,R,,CAN
124116,Sebastian Ofner,R,,AUT
105074,Ruben Bemelmans,L,,BEL
106420,Gianluigi Quinzi,L,,ITA
124154,Sasi Kumar Mukund,R,,IND
105656,Marcelo Arevalo,R,,ESA
111815,Cameron Norrie,L,188,GBR
105807,Pablo Carreno Busta,R,188,ESP
104926,Fabio Fognini,R,178,ITA
104545,John Isner,R,206,USA
105311,Joao Sousa,R,185,POR
103970,David Ferrer,R,175,ESP
104907,Jose Rubin Statham,R,183,NZL
133430,Denis Shapovalov,L,185,CAN
105449,Steve Johnson,R,188,USA
111456,Mackenzie McDonald,R,,USA
104655,Pablo Cuevas,R,180,URU
104547,Horacio Zeballos,L,188,ARG
105047,Tim Puetz,R,,GER
103565,Stephane Robert,R,185,FRA
104667,Philipp Oswald,R,,AUT
105341,Thomas Fabbiano,R,,ITA
110686,Finn Tearney,R,,NZL
109054,Daniel Masur,R,,GER
105406,Roberto Marcora,R,,ITA
208055,Ajeet Rai,R,,NZL
105015,Franko Skugor,R,193,CRO
106043,Diego Schwartzman,R,170,ARG
126774,Stefanos Tsitsipas,R,193,GRE
105819,Guido Andreozzi,R,,ARG
105373,Martin Klizan,L,190,SVK
105023,Sam Querrey,R,198,USA
105051,Matthew Ebden,R,188,AUS
106298,Lucas Pouille,R,185,FRA
126207,Frances Tiafoe,R,188,USA
202429,Camila Giorgi,R,168,ITA
201444,Su Wei Hsieh,R,169,TPE
214544,Aryna Sabalenka,R,182,BLR
201490,Timea Bacsinszky,R,,SUI
201495,Dominika Cibulkova,R,161,SVK
