max_lost,loser_name,nemesis
2,Mikhail Elgin,Kevin Krawietz
1,Anoosha Shahgholi,Aisam Ul Haq Qureshi
1,Tomasz Bednarek,Simohamed Hirs
1,Tomasz Bednarek,Matvey Khomentovskiy
1,Tomasz Bednarek,Jeroen Vanneste
1,Tomasz Bednarek,Daniel Batista
1,Tomasz Bednarek,Jan Zielinski
1,Tomasz Bednarek,Edoardo Eremin
1,Tomasz Bednarek,Mats Moraing
1,Tomasz Bednarek,Kamil Majchrzak
1,Tomasz Bednarek,Maxime Janvier
1,Tomasz Bednarek,Jurgen Zopp
1,Tomasz Bednarek,Karol Drzewiecki
1,Tomasz Bednarek,Filippo Baldi
1,Tomasz Bednarek,Szymon Walkow
1,Tomasz Bednarek,Cedrik Marcel Stebe
1,Tomasz Bednarek,Daniel Elahi Galan
1,Tomasz Bednarek,Ilija Vucic
1,Tomasz Bednarek,Roman Jebavy
1,Tomasz Bednarek,Patrick Grigoriu
1,Tomasz Bednarek,Nico Matic
1,Tomasz Bednarek,Oriol Roca Batalla
1,Tomasz Bednarek,Alexandar Lazov
1,Tomasz Bednarek,Guillermo Olaso
1,Tomasz Bednarek,Sergey Betov
4,Paolo Lorenzi,Federico Delbonis
4,Paolo Lorenzi,Laslo Djere
3,Julien Benneteau,Lucas Pouille
2,Jan Mertl,Radu Albot
2,Paul Henri Mathieu,Andrey Rublev
2,Paul Henri Mathieu,Jan Lennard Struff
2,Paul Henri Mathieu,Stephane Robert
2,Paul Henri Mathieu,Andreas Seppi
2,Paul Henri Mathieu,Jeremy Chardy
2,Paul Henri Mathieu,Nicolas Mahut
2,Paul Henri Mathieu,Robin Haase
1,Omar Awadhy,Bernabe Zapata Miralles
1,Omar Awadhy,Daniil Medvedev
3,Nicolas Mahut,Viktor Troicki
3,Nicolas Mahut,David Goffin
1,Sanchai Ratiwatana,Marcus Walters
1,Sanchai Ratiwatana,Alex Kuznetsov
1,Sanchai Ratiwatana,Aron Hiltzik
1,Sanchai Ratiwatana,Sonchat Ratiwatana
1,Sanchai Ratiwatana,Arata Onozawa
1,Sanchai Ratiwatana,Greg Jones
1,Sonchat Ratiwatana,Olukayode Alafia Damina Ayeni
1,Sonchat Ratiwatana,Xi Qi
1,Sonchat Ratiwatana,Marinko Matosevic
1,Sonchat Ratiwatana,Seong Gook Oh
1,Sonchat Ratiwatana,Daniel Nguyen
1,Sonchat Ratiwatana,Benjamin Balleret
1,Marc Fornell Mestres,Robin Stanek
3,Daniel Munoz de la Nava,Andrej Martin
1,Igor Zelenay,Renta Tokuda
1,Igor Zelenay,Filip Horansky
1,Igor Zelenay,Guillermo Garcia Lopez
1,Igor Zelenay,Christian Lindell
1,Igor Zelenay,Denys Molchanov
1,Igor Zelenay,Albano Olivetti
1,Igor Zelenay,Uladzimir Ignatik
1,Bruno Soares,Attila Balazs
5,David Ferrer,Alexander Zverev
1,Nicholas Monroe,Evgeny Donskoy
1,Chris Wettengel,William Blumberg
3,Tommy Robredo,Roberto Carballes Baena
2,Lukasz Kubot,Yoshihito Nishioka
3,Andre Ghem,Maximo Gonzalez
4,Mikhail Youzhny,Pierre Hugues Herbert
4,Mikhail Youzhny,Malek Jaziri
1,Giulio Di Meo,Maxime Janvier
1,Jesse Witten,Alexander Bublik
1,Jesse Witten,Daniel Nguyen
1,Jesse Witten,Mikael Torpegaard
1,Jesse Witten,Max Purcell
1,Hiroki Kondo,Andriej Kapas
1,Hiroki Kondo,Yong Kyu Lim
2,David Guez,Vincent Millot
